word,audio_word,match_type,source,speaker,license,filename,url,size_bytes
зборува,зборува,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-зборува.wav,https://upload.wikimedia.org/wikipedia/commons/c/c3/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B7%D0%B1%D0%BE%D1%80%D1%83%D0%B2%D0%B0.wav,109356
текст,текст,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-текст.wav,https://upload.wikimedia.org/wikipedia/commons/e/e1/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%82%D0%B5%D0%BA%D1%81%D1%82.wav,92972
страв,страв,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-страв.wav,https://upload.wikimedia.org/wikipedia/commons/0/0d/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D1%82%D1%80%D0%B0%D0%B2.wav,92972
живот,живот,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-живот.wav,https://upload.wikimedia.org/wikipedia/commons/3/34/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82.wav,76588
авторски,авторски,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-авторски.wav,https://upload.wikimedia.org/wikipedia/commons/b/b4/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%81%D0%BA%D0%B8.wav,109356
пумпа,пумпа,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пумпа.wav,https://upload.wikimedia.org/wikipedia/commons/4/4f/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D1%83%D0%BC%D0%BF%D0%B0.wav,92972
пее,пее,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пее.wav,https://upload.wikimedia.org/wikipedia/commons/4/40/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%B5%D0%B5.wav,84780
сад,сад,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-сад.wav,https://upload.wikimedia.org/wikipedia/commons/a/a6/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D0%B0%D0%B4.wav,76588
звук,звук,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-звук.wav,https://upload.wikimedia.org/wikipedia/commons/e/ec/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B7%D0%B2%D1%83%D0%BA.wav,92972
брз,брз,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-брз.wav,https://upload.wikimedia.org/wikipedia/commons/0/02/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B1%D1%80%D0%B7.wav,84780
